job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T962_5919294,Conflagration and Keep-a-riding,McGRAVE | Random | Implicit Minimax | Robust,McGRAVE,Random,Implicit Minimax,Robust,0,30,0.0,29.9,0.5,30,1000,4,7G,2,61,150,210,2,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T963_5919295,Dogtown Clans,McGRAVE | NST | Score Bounded | Proportional Exp,McGRAVE,NST,Score Bounded,Proportional Exp,0,30,0.0,39.9,0.5,30,1000,4,7G,2,52,36,87,4,1,7,7,6,36,4.83,4.83,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T964_5919296,Don't Mosey and The Last Scavenger,McBRAVE | NST | MonteCarlo | Robust,McBRAVE,NST,MonteCarlo,Robust,2,30,0.06666666666666667,15.8,0.5,30,1000,4,7G,2,61,150,210,2,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T965_5919297,Double-Move Situ,McGRAVE | MAST | MonteCarlo | MaxAvgScore,McGRAVE,MAST,MonteCarlo,MaxAvgScore,2,30,0.06666666666666667,19.1,0.5,30,1000,4,7G,2,22,18,39,4,1,5,5,6,18,4.33,4.33,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T966_5919298,Double-Run Stone,Progressive Widening | Random | MonteCarlo | Proportional Exp,Progressive Widening,Random,MonteCarlo,Proportional Exp,15,30,0.5,16.3,0.5,30,1000,4,7G,2,13,12,24,6,1,4,4,6,42,4.0,4.0,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T967_5919299,Ecosys,Progressive Widening | MAST | Score Bounded | Robust,Progressive Widening,MAST,Score Bounded,Robust,21,30,0.7,71.1,0.5,30,1000,4,7G,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T968_5919300,Equi Game System,Progressive Widening | NST | Implicit Minimax | MaxAvgScore,Progressive Widening,NST,Implicit Minimax,MaxAvgScore,8,30,0.26666666666666666,40.5,0.5,30,1000,4,7G,2,37,27,63,4,1,6,6,6,27,4.67,4.67,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T969_5919301,Faraday,Implicit Minimax | Random | Score Bounded | MaxAvgScore,Implicit Minimax,Random,Score Bounded,MaxAvgScore,15,30,0.5,92.5,0.5,30,1000,4,7G,2,150,91,240,2,2,11,11,6,91,5.27,5.27,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T96_5918428,Agon,UCB1 tuned | NST | MonteCarlo | Proportional Exp,UCB1 tuned,NST,MonteCarlo,Proportional Exp,6,30,0.2,490.5,0.5,30,1000,4,7G,2,91,216,306,4,1,11,11,6,91,9.89,5.27,4.62,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T970_5919302,Flowers,Alpha-Beta | Random | Implicit Minimax | Robust,Alpha-Beta,Random,Implicit Minimax,Robust,5,30,0.16666666666666666,11.1,0.5,30,1000,4,7G,2,114,217,330,2,1,15,15,18,114,9.42,4.21,3.21,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T971_5919303,Freeze Frenzy,Implicit Minimax | MAST | Implicit Minimax | Proportional Exp,Implicit Minimax,MAST,Implicit Minimax,Proportional Exp,1,30,0.03333333333333333,39.5,0.5,30,1000,4,7G,2,37,27,63,2,1,6,6,6,27,4.67,4.67,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T972_5919304,Goldilocks Stones,Alpha-Beta | NST | Score Bounded | Proportional Exp,Alpha-Beta,NST,Score Bounded,Proportional Exp,0,30,0.0,33.1,0.5,30,1000,4,7G,2,36,94,129,2,1,7,7,6,36,8.67,4.83,3.83,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T973_5919305,Greater Even Loss,Implicit Minimax | NST | MonteCarlo | Robust,Implicit Minimax,NST,MonteCarlo,Robust,15,30,0.5,9.0,0.5,30,1000,4,7G,2,16,25,40,2,1,4,4,4,16,5.25,3.0,2.25,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T974_5919306,Greater Loss,Alpha-Beta | MAST | MonteCarlo | MaxAvgScore,Alpha-Beta,MAST,MonteCarlo,MaxAvgScore,3,30,0.1,8.3,0.5,30,1000,4,7G,2,16,25,40,2,1,4,4,4,16,5.25,3.0,2.25,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T975_5919307,Greater,UCB1 | Random | MonteCarlo | Proportional Exp,UCB1,Random,MonteCarlo,Proportional Exp,0,30,0.0,17.7,0.5,30,1000,4,7G,2,16,25,40,2,1,4,4,4,16,5.25,3.0,2.25,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T976_5919308,Greatest Loss,UCB1 | MAST | Score Bounded | Robust,UCB1,MAST,Score Bounded,Robust,15,30,0.5,15.0,0.5,30,1000,4,7G,2,16,25,40,2,1,4,4,4,16,5.25,3.0,2.25,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T977_5919309,Havabu,UCB1 | NST | Implicit Minimax | MaxAvgScore,UCB1,NST,Implicit Minimax,MaxAvgScore,7,30,0.23333333333333334,25.5,0.5,30,1000,4,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T978_5919310,Hexifact,UCB1 tuned | Random | Score Bounded | MaxAvgScore,UCB1 tuned,Random,Score Bounded,MaxAvgScore,17,30,0.5666666666666667,28.5,0.5,30,1000,4,7G,2,37,27,63,2,1,6,6,6,27,4.67,4.67,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T979_5919311,HopThrough,UCB1 tuned | MAST | Implicit Minimax | Proportional Exp,UCB1 tuned,MAST,Implicit Minimax,Proportional Exp,26,30,0.8666666666666667,29.7,0.5,30,1000,4,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T97_5918429,Aralzaa,McBRAVE | Random | Implicit Minimax | Robust,McBRAVE,Random,Implicit Minimax,Robust,0,30,0.0,524.0,0.5,30,1000,4,7G,2,9,16,24,2,1,3,3,4,9,4.44,2.67,1.78,0,0,0,0,0,0,0,0,0,1,0,,,,,
