job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T1298_5801107,Juroku Musashi,Alpha-Beta | MAST | MonteCarlo | MaxAvgScore,Alpha-Beta,MAST,MonteCarlo,MaxAvgScore,1,10,0.1,473.8,0.2,10,1000,4,7G,2,36,33,70,2,1,7,7,12,33,4.36,4.24,0.12,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1299_5801108,Abrobad,UCB1 | Random | Heuristic | Robust,UCB1,Random,Heuristic,Robust,7,10,0.7,14.2,0.2,10,1000,4,7G,2,12,37,48,2,1,4,4,6,12,6.5,4.0,2.5,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1305_5801114,Branching Coral,Progressive History | Random | Score Bounded | Robust,Progressive History,Random,Score Bounded,Robust,6,10,0.6,29.9,0.2,10,1000,4,7G,2,48,121,168,4,1,8,8,6,50,9.12,5.0,4.12,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1306_5801115,Crand,McBRAVE | MAST | Implicit Minimax | MaxAvgScore,McBRAVE,MAST,Implicit Minimax,MaxAvgScore,0,10,0.0,647.6,0.2,10,1000,4,7G,2,64,81,160,4,1,9,9,4,81,6.72,3.95,2.77,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1308_5801117,Pam Pait,McGRAVE | Random | Implicit Minimax | Robust,McGRAVE,Random,Implicit Minimax,Robust,0,10,0.0,178.1,0.2,10,1000,4,7G,2,24,31,62,2,1,9,5,10,31,4.52,4.0,0.52,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1309_5801118,Spire,Implicit Minimax | MAST | Score Bounded | MaxAvgScore,Implicit Minimax,MAST,Score Bounded,MaxAvgScore,7,10,0.7,22.4,0.2,10,1000,4,7G,2,14,30,96,3,1,7,7,4,33,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T130_5799939,Fart (5x5),Progressive Widening | NST | Implicit Minimax | Proportional Exp,Progressive Widening,NST,Implicit Minimax,Proportional Exp,0,10,0.0,31.8,0.2,10,1000,4,7G,2,25,36,60,2,2,5,5,4,27,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1310_5801119,Katro,McGRAVE | NST | AlphaGo | Proportional Exp,McGRAVE,NST,AlphaGo,Proportional Exp,1,10,0.1,147.4,0.2,10,1000,4,7G,2,25,36,60,1,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T1312_5801121,Julbahar,UCB1 GRAVE | NST | MonteCarlo | Proportional Exp,UCB1 GRAVE,NST,MonteCarlo,Proportional Exp,1,10,0.1,886.0,0.2,10,1000,4,7G,2,12,26,37,4,1,2,13,4,28,4.69,2.85,1.85,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1313_5801122,Unlur,Progressive Widening | MAST | Heuristic | MaxAvgScore,Progressive Widening,MAST,Heuristic,MaxAvgScore,10,10,1.0,50.1,0.2,10,1000,4,7G,2,91,216,306,2,2,11,11,6,91,9.89,5.27,4.62,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1314_5801123,Fettas,UCB1 tuned | Random | AlphaGo | Robust,UCB1 tuned,Random,AlphaGo,Robust,7,10,0.7,232.0,0.2,10,1000,4,7G,2,0,24,32,2,2,7,7,4,26,2.67,2.67,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1315_5801124,La Chascona,Implicit Minimax | NST | MonteCarlo | Proportional Exp,Implicit Minimax,NST,MonteCarlo,Proportional Exp,0,10,0.0,88.7,0.2,10,1000,4,7G,2,0,24,32,2,2,7,7,4,26,2.67,2.67,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T131_5799940,Kensington,McBRAVE | Random | MonteCarlo | Robust,McBRAVE,Random,MonteCarlo,Robust,0,10,0.0,1000.0,0.2,10,1000,4,7G,2,61,72,132,2,1,16,21,18,135,5.92,3.67,2.25,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1320_5801129,Chucka,UCB1 | MAST | MonteCarlo | MaxAvgScore,UCB1,MAST,MonteCarlo,MaxAvgScore,3,10,0.3,94.2,0.2,10,1000,4,7G,2,37,96,132,2,2,7,7,6,37,8.76,4.86,3.89,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1323_5801132,First Attack,Alpha-Beta | Random | Heuristic | Robust,Alpha-Beta,Random,Heuristic,Robust,0,10,0.0,6.5,0.2,10,1000,4,7G,2,64,81,144,1,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1324_5801133,Arimaa,UCB1 tuned | MAST | Heuristic | MaxAvgScore,UCB1 tuned,MAST,Heuristic,MaxAvgScore,8,10,0.8,338.5,0.2,10,1000,4,7G,2,64,81,144,12,3,8,8,4,76,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1325_5801134,Arimaa,Progressive Widening | NST | Score Bounded | Proportional Exp,Progressive Widening,NST,Score Bounded,Proportional Exp,7,10,0.7,347.9,0.2,10,1000,4,7G,2,64,81,144,12,3,8,8,4,76,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
