variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,drawrate,score,n_timeouts,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
UCB1,MAST,Score Bounded,Proportional Exp,0.44,0.0,0.44,0,0.5,2000,2,33,48,80,3,1,11,3,4,33,5.58,3.15,2.42,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,MAST,Score Bounded,Proportional Exp,0.27,0.0,0.27,0,1.0,2000,2,72,91,162,2,1,12,6,4,72,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,Random,MonteCarlo,MaxAvgScore,0.5,0.07,0.535,0,2.0,2000,2,1261,2646,3906,2,1,41,41,6,1261,11.42,5.8,5.61,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,MAST,MonteCarlo,Robust,0.37,0.0,0.37,0,0.2,2000,2,127,294,420,3,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,Heuristic,Score Bounded,Proportional Exp,0.03,0.0,0.03,0,0.5,2000,2,127,294,420,2,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,NST,Heuristic,Robust,0.22,0.08,0.26,0,1.0,2000,2,127,294,420,2,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,PlayoutHS,Qualitative,Robust,0.11,0.0,0.11,0,2.0,2000,2,127,294,420,2,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,Heuristic Sampling,Implicit Minimax,MaxAvgScore,0.0,0.0,0.0,0,0.2,2000,2,127,294,420,3,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,HS Playout,Heuristic,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,127,294,420,3,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,LGR,MonteCarlo,Proportional Exp,0.5,0.0,0.5,0,1.0,2000,2,127,294,420,2,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,MAST,Implicit Minimax,MaxAvgScore,0.16,0.0,0.16,0,2.0,2000,2,127,294,420,2,2,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,Random,MonteCarlo,Robust,0.01,0.0,0.01,0,0.2,2000,2,331,726,1056,3,1,21,21,6,331,10.88,5.62,5.26,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,PlayoutHS,AlphaGo,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,0,36,60,2,2,15,11,6,38,3.33,3.33,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Noisy AG0,NST,MonteCarlo,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,181,220,400,2,1,19,19,32,181,7.16,3.58,3.58,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,MAST,Score Bounded,Robust,0.02,0.01,0.025,0,0.2,2000,2,11,24,34,1,2,2,12,4,26,4.67,2.83,1.83,0,0,0,0,1,0,0,1,0,1,0,,,,,
ExIt,NST,Score Bounded,Robust,0.0,0.0,0.0,0,0.5,2000,2,9,18,26,1,1,2,10,2,18,4.44,2.89,1.56,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 GRAVE,MAST,MonteCarlo,Proportional Exp,0.05,0.23,0.165,0,1.0,2000,2,104,169,236,16,1,12,12,4,104,6.65,3.46,3.19,0,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,Random,MonteCarlo,Robust,0.0,0.0,0.0,0,2.0,2000,2,60,85,144,2,1,30,30,24,60,6.0,3.6,2.4,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,NST,MonteCarlo,Robust,0.39,0.1,0.44,0,0.2,2000,2,8,9,16,2,2,3,3,4,19,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Implicit Minimax,Heuristic Sampling,Heuristic,Robust,0.08,0.0,0.08,0,0.5,2000,2,8,9,16,2,2,3,3,4,19,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1,HS Playout,Implicit Minimax,Robust,0.39,0.04,0.41,0,2.0,2000,2,1261,2646,3906,2,1,41,41,6,1261,11.42,5.8,5.61,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,MAST,Heuristic,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,8,9,16,2,2,3,3,4,19,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Alpha-Beta,PlayoutHS,AlphaGo,Proportional Exp,0.05,0.0,0.05,0,0.2,2000,2,8,9,16,2,2,3,3,4,19,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
ExIt,NST,Score Bounded,MaxAvgScore,0.03,0.0,0.03,0,0.5,2000,2,196,225,420,20,1,14,14,4,196,7.16,3.71,3.45,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,Random,MonteCarlo,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,8,13,20,4,1,5,5,5,13,4.31,3.08,1.23,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,MAST,Score Bounded,Proportional Exp,0.01,0.0,0.01,0,2.0,2000,2,36,49,84,2,2,6,6,4,38,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,NST,MonteCarlo,MaxAvgScore,0.07,0.0,0.07,0,0.2,2000,2,19,54,72,2,1,5,5,6,19,7.58,4.42,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,Random,Score Bounded,Robust,0.06,0.0,0.06,0,0.5,2000,2,4,14,15,1,2,2,8,10,20,3.29,2.14,1.14,0,0,0,0,1,0,0,1,0,1,0,,,,,
AG0,MAST,MonteCarlo,Robust,0.0,0.0,0.0,0,1.0,2000,2,45,64,108,2,2,9,9,12,47,5.87,3.2,2.67,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,Heuristic Sampling,Score Bounded,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,45,64,108,2,2,9,9,12,47,5.87,3.2,2.67,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,PlayoutHS,AlphaGo,Proportional Exp,0.12,0.51,0.375,0,0.2,2000,2,45,64,108,2,2,9,9,12,47,5.87,3.2,2.67,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,NST,Score Bounded,Proportional Exp,0.15,0.0,0.15,0,0.5,2000,2,121,144,264,2,1,12,12,4,144,7.03,3.67,3.36,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Bias,Random,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,18,28,45,1,1,4,7,4,28,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,0,0,,,,,
ExIt,NST,AlphaGo,Robust,0.0,0.0,0.0,0,2.0,2000,2,18,28,45,1,1,4,7,4,28,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,Heuristic,Qualitative,Proportional Exp,0.0,0.0,0.0,0,0.2,2000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,Heuristic,Score Bounded,MaxAvgScore,1.0,0.0,1.0,0,0.5,2000,2,10,20,29,1,1,2,11,2,20,4.5,2.9,1.6,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive Widening,NST,AlphaGo,Robust,0.22,0.13,0.285,0,1.0,2000,2,8,16,23,1,1,2,9,2,16,4.38,2.88,1.5,0,0,0,0,1,0,0,1,0,0,0,,,,,
